,,Type,Rarity,Nickname,Where,When,How much,Location,Pot Size,Number of Leaves,Leaf 👀 
Philodendron,,,,,,,,,,,
,Philodendron,White Knight,0,White Knight,Lowes,,20,,6 inch,,FALSE
,Philodendron,Ring of Fire,0,Ring of Fire,Walmart,,20,,6 inch,,FALSE
,Philodendron,Pink Princess,0,Pink Princess,Lowes,,15,,6 inch,,FALSE
,Philodendron,Pink Princess,0,Twins,Lowes,,15,,6 inch,,FALSE
,Philodendron,Pink Princess,0,Twins,Lowes,,Free,,6 inch,,FALSE
,Philodendron,Birkin,0,Birkin,Lowes,,10,,6 inch,,FALSE
,Philodendron,Florida Ghost,0,Ghost,Home Depot,,10,,6 inch,,FALSE
,Philodendron,Golden Crocodile,0,Crocodile,Home Depot,,10,,6 inch,,FALSE
,Philodendron,Fat Boy,0,Fat Boy,Rainbow Gardens,8/7,47.99 (Gift),,,,FALSE
,Philodendron,Pluto,0,Pluto,Rainbow Gardens,8/7,24.99 (Gift),,,,FALSE
,Philodendron,Florida Beauty,0,Florida Beauty,Rainbow Gardens,8/7,34.99 (Gift),,,,FALSE
,Philodendron,Red Emerald,0,Red Emerald,ED Hunnington,8/7,25,,,,FALSE
,Philodendron,Orange Marmalade,0,,Cornelius,,17,,,,FALSE
Monstera,,,,,,,,,,,
,Monstera,Deliciosa,0,GrandMon,Abuelita Via Mom,,Free,,12 inch,,FALSE
,Monstera,Deliciosa,0,Bucket 1,Lowes,,15,,10 inch,,FALSE
,Monstera,Deliciosa,0,Bucket 2,Lowes,,30,,10 inch,,FALSE
,Monstera,Thai Con,0,Glow Rock,Lowes,,15,,12 inch,,FALSE
,Monstera,Burle Marx Flame,0,Flames,Home Depot,,44,,7 inch ,,FALSE
,Monstera,Thai Con,0,Black Moss Pole,Plant Con,,30,,6 inch,,FALSE
,Monstera,Albo,0,Glow Moss Pole,Plant Con,,45,,8 inch,,FALSE
,Monstera,White Monster,0,,Home Depot,,30,,4.5 inch,,FALSE
,Monstera,White Monster,0,,Home Depot,,15,,4.5 inch,,FALSE
,Monstera,Mysteria Transylvania,0,Rescue,Home Depot,,15,,4.5 inch,,FALSE
,Monstera,Mysteria Transylvania,0,Floor,Home Depot,,Free,,4.5 inch,,FALSE
,Monstera,Bulbasaur,0,BruteRoot,Rainbow Gardens,8/8,90,,TBD,4,TRUE
,Monstera,Adansonii Swiss,0,Swiss Chesse,Jared,,Free,Cutting,Water,,FALSE
,Monstera,Esqueleto,0,Esqueleto,ED Hunnington,8/7,50,Cutting,,,FALSE
,Monstera,Esquelito,0,Esquelito,Rainbow Gardens,8/7,17,,,,TRUE
,Monstera,Pinnatipartita,0,Partita,ED Hunnington,8/7,Free,Cutting,,,FALSE
,Monstera,Burle Marx Flame,0,Milipede,Lowes,,10,,,,FALSE
,Monstera,Thai Con,0,Costa,Lowes,,15,,,,FALSE
Hoya,,,,,,,,,,,
,Hoya,Hindu Rope,0,Main,Plant Con,,30,,6 inch,,FALSE
,Hoya,Hindu Rope,0,Prop,Plant Con,,Free,,6 inch,,FALSE
,Hoya,Hindu Rope,0,Bowl,Rainbow Gardens,,25,,6 inch,,FALSE
,Hoya,Shining Sea Star,0,Shining Sea Star,Home Depot,,20,,5 inch,,FALSE
,Hoya,Carnosa,0,Krimson Queen,Lowes,,20,,8 inch,,FALSE
,Hoya,Hindu Rope (Varigated),0,White Rope,Rainbow Gardens,,8,,,,FALSE
,Hoya,Hindu Rope,0,Lady Hair,Cornelius,,15,,,,FALSE
Suculents,,,,,,,,,,,
,Suculents,Cotyledon Tomentosa,0,Bear Paw,Home Depot,,5,,3.5 inch,,FALSE
,Suculents,Prickly Pear,0,Nopal,Mom,,Free,,-,,FALSE
Pothos,,,,,,,,,,,
,Pothos,Marble Queen,0,Theo,Lowes,,20,,6 inch,,FALSE
,Pothos,Marble Queen,0,Dora,Lowes,,20,,6 inch,,FALSE
,Pothos,Brazil ,0,Brazil,Lowes,,10,,Tripot,,FALSE
,Pothos,Manjula ,0,Manjuju,Lowes,,10,,Tripot,,FALSE
,Pothos,Golden,0,,Lowes,,7,,,,FALSE
,Pothos,Golden,0,,Lowes,,7,,,,FALSE
,Pothos,Sunburst,0,,Lowes,,10,,,,FALSE
Ferns,,,,,,,,,,,
,Ferns,Blue Oil Fern,0,Blue,Rainbow Gardens,,26,,6 inch,,FALSE
Fruiting,,,,,,,,,,,
,Fruiting,Chile Piquin,0,Piquin,Rainbow Gardens,,4,,6 inch,,FALSE
,Fruiting,Passion Vine,0,Passion,Rainbow Gardens,,16,,7 inch,,FALSE
Misc,,,,,,,,,,,
,Misc,Terrarium,0,Terrarium,Terrarium Plant House,,100,,-,,FALSE
,Misc,ZZ Raven,0,Indoor,Lowes,,7,,6 inch,,FALSE
,Misc,Dracaena,0,Twister,Lowes,,7,,6 inch,,FALSE
,Misc,Dieffenbaccia Camille,0,Rescue,Lowes,,10,,9 inch,,FALSE
,Misc,Tradescantia zebrina,0,Moms Gift ,Mom,,Free,,-,,FALSE
,Misc,Tradescantia (TBD),0,,Shawn,,Free,,-,,FALSE
,Misc,,0,,,,,,,,FALSE
Syngonium,,,,,,,,,,,
,Syngonium,Angustatum,0,Five Finger,ED Hunnington,8/7,25,Cutting,-,,FALSE
Alocasia,,,,,,,,,,,
,Alocasia,Infernalis “Kapit”,0,Infernalis,Rainbow Gardens,8/7,25,,,,FALSE
,Alocasia,Zebrina,0,Tina,Rainbow Gardens,8/7,26.99 (Gift - Mom),,,,FALSE
,Alocasia,Stingray,0,Stingray,Rainbow Gardens,8/7,17.99 (Gift - Jared),,,,FALSE
,Alocasia,Dragons Breath,0,Claire,Cornelius,8/14,22.99,,,,FALSE
